variant,month,calendar_days,trade_days,stock_trades,wins,losses,win_rate_pct,compound_pct,mdd_pct,mean_trade_pct,worst_day_pct,weeks,eligible_weeks,weeks_ge2,weeks_lt2,weeks_ge2_pct,average_trade_days_per_week,minimum_trade_days_per_eligible_week,fallback_days,primary_days,fallback_share_pct,ambiguous_positions,missing_pair_rejections,complete,missing_result_days
win,2025-08,20,8,8,3,5,37.5,-1.009854831957746,-4.4554867911516975,-0.11579453767217562,-2.576176024279208,5,4,4,0,100.0,1.6,2,6,2,75.0,0,0,True,0
win,2025-09,22,10,10,7,3,70.0,5.629131615270233,-0.8903187721369554,0.5539807149781442,-0.8903187721369552,5,5,5,0,100.0,2.0,2,10,0,100.0,0,0,True,0
win,2025-10,18,7,7,4,3,57.142857142857146,5.336473633662631,-4.338004750593827,0.7831915113596207,-4.338004750593826,5,4,3,1,75.0,1.4,0,6,1,85.71428571428571,0,0,True,0
win,2025-11,20,10,10,8,2,80.0,1.186482128663524,-3.064423076923073,0.12793407669105886,-3.0644230769230725,4,4,4,0,100.0,2.5,2,5,5,50.0,0,0,True,0
win,2025-12,21,10,10,4,6,40.0,2.717893339811228,-4.0648250015752785,0.2906337020493569,-2.6771790808240876,5,5,5,0,100.0,2.0,2,8,2,80.0,0,0,True,0
win,2026-01,21,10,10,6,4,60.0,7.147542676099183,-4.863135519394579,0.7197857312618408,-3.367484662576692,5,4,4,0,100.0,2.0,2,8,2,80.0,0,0,True,0
win,2026-02,17,8,8,4,4,50.0,-0.17545460203004515,-5.50103024514732,-0.004385899763057921,-2.8906735751295316,4,4,4,0,100.0,2.0,2,8,0,100.0,0,0,True,0
win,2026-03,21,10,10,9,1,90.0,18.237232561288195,-5.667793240556662,1.7327131544299206,-5.667793240556661,5,5,5,0,100.0,2.0,2,10,0,100.0,0,0,True,0
win,2026-04,22,9,9,6,3,66.66666666666667,-1.3145285247932348,-20.563749279981426,0.18430110103632663,-19.51225382932167,5,5,4,1,80.0,1.8,1,8,1,88.88888888888889,0,0,True,0
balanced,2024-01,22,16,16,6,10,37.5,3.666380172640138,-8.123518462893797,0.2572786356472125,-2.370393374741197,5,5,5,0,100.0,3.2,2,7,9,43.75,0,0,True,0
balanced,2024-02,19,17,17,9,8,52.94117647058823,7.190493305747059,-4.739175594706557,0.432263560129389,-2.963706992230852,5,5,5,0,100.0,3.4,2,4,13,23.529411764705884,0,0,True,0
balanced,2024-03,20,18,18,10,8,55.55555555555556,2.7633595652452936,-7.498502488516568,0.18419770403280092,-4.466666666666663,4,4,4,0,100.0,4.5,4,4,14,22.22222222222222,0,0,True,0
balanced,2024-04,21,17,17,8,9,47.05882352941177,7.41958767569193,-4.98377062040799,0.44187753861815726,-2.0021276595744704,5,5,5,0,100.0,3.4,2,3,14,17.647058823529413,0,0,True,0
